Fighter name,Ko wins,Ko losses,Submission wins,Submission losses,Decision wins,Decision losses
Tank Abbott,6,7,3,6,1,2
Shamil Abdurakhimov,9,3,4,1,7,1
Daichi Abe,4,1,0,1,2,2
Hiroyuki Abe (fighter),2,7,3,5,3,3
Papy Abedi,6,2,2,2,2,0
Daniel Acácio,13,4,4,4,13,11
Bernard Ackah,4,3,0,2,1,1
Akihiko Adachi,1,1,1,1,2,2
Israel Adesanya,14,0,0,0,4,0
Sam Adkins (fighter),0,6,5,9,2,5
AJ Agazarm,0,0,1,0,1,1
Bashir Ahmad (mixed martial artist),0,1,3,1,1,0
Katsuhisa Akasaki,0,3,4,6,2,9
Omari Akhmedov,7,2,5,2,7,0
Jin Akimoto,1,0,6,1,5,12
Yoshihiro Akiyama,5,2,7,1,2,4
Mostapha al-Turk,4,3,2,1,0,2
Tony Alanis,3,0,2,3,0,0
John Albert (fighter),4,0,3,5,0,0
Júnior Albini,6,2,6,3,2,1
Ildemar Alcântara,11,5,9,0,6,8
Iuri Alcântara,14,2,14,2,7,6
José Aldo,17,3,1,1,10,1
John Alessio,10,2,17,7,8,7
Houston Alexander,12,10,2,2,3,4
Olaf Alfonso,5,8,2,1,1,3
Royce Alger,2,1,1,1,0,0
Amir Aliakbari,7,1,0,0,3,0
Sultan Aliev,10,2,0,0,5,1
Ben Alloway,8,2,6,4,5,2
Ricardo Almeida,0,1,5,1,8,2
Thomas Almeida,17,2,3,0,1,1
Eddie Alvarez,16,4,8,2,6,1
Sean Alvarez,0,3,2,0,1,0
Thiago Alves (fighter),12,3,2,4,9,6
Warlley Alves,3,1,6,0,4,3
Sam Alvey,19,3,3,1,11,9
André Amado,4,2,0,1,2,1
Adlan Amagov,8,1,1,1,5,0
Raul Amaya,5,1,6,1,0,1
Jimmy Ambriz,8,11,8,10,1,0
J. J. Ambrose,6,1,16,3,5,4
Makwan Amirkhani,1,0,10,1,4,2
Karl Amoussou,7,2,13,0,4,6
Bertrand Amoussou-Guenou,1,0,0,1,0,0
Eryk Anders,8,1,1,0,3,3
Corey Anderson (fighter),4,3,0,0,8,1
Derek Anderson (fighter),5,0,6,1,5,2
Alex Andrade (fighter),4,0,3,1,3,2
Viscardi Andrade,5,2,6,1,7,5
Dylan Andrews,13,4,3,4,2,1
Giorgio Andrews,4,0,4,0,1,0
Reese Andy,1,2,2,0,4,1
Yoji Anjo,0,1,0,3,0,1
Magomed Ankalaev,6,0,0,1,6,0
Gadzhimurad Antigulov,4,4,15,2,1,0
Kelly Anundson,2,0,5,3,2,0
Shinya Aoki,3,7,28,0,10,2
Erik Apple,3,1,6,2,1,0
Felipe Arantes,7,1,6,2,5,7
Igor Araújo,1,4,17,2,7,4
Andrei Arlovski,17,10,3,1,8,7
Ricardo Arona,2,3,3,0,9,2
Matt Arroyo,0,2,3,0,0,1
Josh Appelt,11,3,2,1,2,3
Noboru Asahi,0,1,14,3,5,2
Cyril Asker,4,3,3,1,2,0
Júnior Assunção,4,1,7,2,5,4
Raphael Assunção,4,1,10,2,13,4
Leandro Ataides,6,2,2,0,3,1
Bazigit Atajev,13,3,6,1,1,0
Rich Attonito,4,2,2,1,4,2
Olivier Aubin-Mercier,1,0,8,0,2,5
"Fernando ""Tererê"" Augusto",0,0,0,0,0,1
Marcus Aurélio,4,0,15,0,3,10
Stuart Austin,6,4,4,0,2,1
Blas Avena,2,7,6,0,0,0
David Avellan,1,1,1,0,0,0
Saad Awad,10,3,7,3,5,6
Javy Ayala,7,4,3,1,1,2
Luiz Azeredo,8,3,1,1,6,6
Niklas Bäckström (fighter),4,1,4,0,3,2
Seth Baczynski,9,5,11,5,2,5
Ryan Bader,12,3,3,2,12,0
Ali Bagautinov,5,1,5,0,9,5
Siyar Bahadurzada,13,0,7,2,4,6
Shamar Bailey,5,6,3,1,7,4
Bryan Baker (fighter),8,3,3,1,7,1
Oluwale Bamgbose,6,3,0,0,0,1
Antonio Banuelos,7,5,1,2,12,4
Renan Barão,8,3,15,0,11,5
Bryan Barberena,10,2,2,1,2,4
Edson Barboza,12,3,1,2,7,3
Luke Barnatt,9,2,4,0,2,5
Josh Barnett,10,4,19,1,5,3
David Baron (fighter),4,0,11,2,2,2
Phil Baroni,11,7,2,2,3,9
Carlos Barreto (fighter),4,2,9,0,1,7
Jason Barrett,3,3,0,3,0,0
Francimar Barroso,11,3,5,1,8,3
Pat Barry (kickboxer),7,4,0,3,1,0
Enrique Barzola,4,0,4,0,8,4
Duane Bastress,5,1,1,1,1,0
Chris Beal,3,2,0,1,7,3
Rudy Bears,5,5,8,8,3,2
Johnny Bedford,10,2,9,11,4,1
Chase Beebe,1,3,17,3,6,7
Lyle Beerbohm,9,0,13,1,3,2
Unamed,6,2,3,0,4,0
Alan Belcher,9,2,7,1,2,5
Vitor Belfort,18,7,3,2,5,5
Kevin Belingon,8,0,3,3,9,2
Joey Beltran,12,5,2,1,3,9
Marco Beltrán,4,2,4,3,2,1
Joseph Benavidez,8,1,9,0,11,4
Brandon Bender,0,1,11,0,1,0
Dave Beneteau,2,1,3,4,1,0
Eddy Bengtsson,2,3,4,1,0,0
Gabriel Benítez,7,2,10,2,4,3
Charles Bennett (fighter),18,4,9,26,3,11
Lance Benoist,1,0,4,0,2,2
Ryan Benoit,8,0,1,2,1,3
Steve Berger,2,7,14,0,4,14
Bret Bergmark,2,0,1,1,3,0
Dennis Bermudez,4,2,3,4,10,3
Keith Berry (fighter),9,8,4,2,1,4
Matt Bessette,7,1,8,1,8,6
Alexandre Bezerra,7,0,12,1,3,5
Rony Mariano Bezerra,5,2,8,1,1,5
Arjan Bhullar,3,0,0,1,6,0
Magomed Bibulatov,2,1,5,0,7,1
David Bielkheden,10,0,6,3,10,9
Bam Bam Bigelow,0,0,0,1,0,0
Jonas Billstein,10,3,5,3,5,1
Michael Bisping,17,3,3,2,10,4
Tariel Bitsadze,2,0,0,5,0,0
Todd Bjornethun,2,0,3,5,2,0
Unamed,6,2,9,1,9,5
Jason Black,4,1,11,2,4,1
Brad Blackburn,9,4,4,1,5,8
Maximo Blanco,8,0,0,4,4,2
Curtis Blaydes,9,2,0,0,3,0
Dan Bobish,8,4,9,5,0,0
Mark Bocek,1,1,7,1,4,3
Kyle Bochniak,2,0,2,0,4,4
Tim Boetsch,11,4,5,5,5,4
Jerry Bohlander,0,3,10,0,1,1
Kotetsu Boku,13,2,1,6,12,6
Tony Bonello,1,2,14,1,1,0
Stephan Bonnar,3,3,7,0,5,6
Ray Borg,1,0,6,1,5,3
Marcus Bossett,1,0,0,3,0,0
Brian Bowles (fighter),3,2,6,1,1,0
Roger Bowling (fighter),8,4,2,1,2,1
Kyle Bradley,11,6,7,5,3,1
Paul Bradley (fighter),8,3,7,0,8,7
Ebenezer Fontes Braga,2,3,6,2,2,2
David Branch (fighter),6,3,7,2,9,1
Diego Brandão,14,8,6,2,4,4
Tom Breese,4,0,6,0,1,1
Chris Brennan,1,4,19,6,1,4
Charlie Brenneman,5,4,5,3,9,1
Jason Brilz,6,2,10,2,7,2
Marcus Brimage,3,3,0,1,4,3
Henry Briones,8,1,6,2,2,5
Antwain Britt,9,2,0,2,2,2
Jorge Britto,3,2,6,0,3,7
Mike Bronzoulis,11,2,3,3,3,5
Jonathan Brookins,3,1,9,2,4,7
Jarred Brooks,2,1,5,0,7,1
Will Brooks,5,2,4,2,11,0
Rob Broughton,7,1,6,2,3,4
Damien Brown (fighter),3,2,9,4,7,6
Matt Brown (fighter),13,2,6,10,2,4
Mike Brown (fighter),5,3,13,4,8,2
Travis Browne,14,4,2,1,2,2
Junie Browning,2,2,3,4,0,0
Justin Bruckmann,2,0,3,3,2,0
Steve Bruno,6,2,7,0,2,4
Derek Brunson,11,5,3,0,6,2
Justin Buchholz,8,4,6,3,1,4
Zak Bucia,4,1,9,1,2,6
Courtney Buck,9,3,3,4,0,4
Mike Budnik,3,0,7,2,4,2
Paul Buentello,22,4,9,8,4,5
Shawn Bunch,3,1,0,2,6,1
Shane Burgos,4,1,5,0,3,0
Josh Burkman,7,2,10,9,11,7
Mikey Burnett,1,1,2,0,2,1
Gilbert Burns (fighter),5,1,8,0,4,2
Kevin Burns (fighter),3,4,8,0,1,3
Nah-Shon Burrell,10,2,0,1,5,8
Murilo Bustamante,6,2,5,0,4,6
Jason Butcher,6,2,5,1,0,1
Jake Butler,4,3,1,0,2,0
Raphael Butler,6,1,3,1,0,0
Alex Caceres,3,1,5,7,7,4
Darrion Caldwell,2,0,5,2,7,1
Frank Camacho,17,4,2,1,3,2
Fabrício Camões,4,2,7,5,3,2
Brian Camozzi,3,2,4,1,0,2
Chris Camozzi,7,1,7,6,10,7
Derek Campos,6,4,5,2,9,3
Will Campuzano,6,1,4,2,4,3
Chico Camus,4,1,3,1,11,6
Luiz Cané,14,4,1,0,2,1
Guido Cannetti,3,0,3,4,2,0
Jared Cannonier,8,2,3,0,2,2
Jose Canseco,0,0,0,1,0,0
Steve Cantwell,3,1,4,0,0,5
Frank Caraballo,6,2,5,4,3,3
Bryan Caraway,2,2,16,2,3,5
Phil Cardella,0,2,7,1,1,2
Chris Cariaso,3,1,2,3,12,4
Steve Carl,2,2,17,2,3,2
Antônio Carlos Júnior,0,1,8,0,2,3
Simon Carlsen,4,2,3,2,1,1
Francis Carmont,6,3,11,3,8,6
Roan Carneiro,2,3,10,4,9,6
Tim Carpenter (fighter),1,1,4,0,4,1
Antonio Carvalho,7,3,3,0,5,3
Shane Carwin,7,0,5,1,0,1
Johnny Case,18,3,4,2,4,1
Kevin Casey (fighter),3,6,3,0,3,0
Bendy Casimir,4,3,13,5,4,7
Danny Castillo,6,3,4,2,7,5
Gil Castillo,2,3,5,0,4,2
Raul Castillo,4,0,2,0,1,1
Tim Catalfo,0,0,3,2,0,0
Nick Catone,3,1,3,2,4,1
Luke Caudillo,11,3,2,10,4,4
Rafael Cavalcante,11,4,2,0,0,2
Magnus Cedenblad,7,2,5,3,2,0
Yosdenis Cedeno,7,0,0,2,3,4
Henry Cejudo,7,1,0,0,8,1
Donald Cerrone,10,6,17,1,9,6
Jason Chambers,5,0,10,4,3,1
Michael Chandler,7,3,7,0,5,2
Dan Charles,7,7,2,0,2,0
Ernest Chavez (fighter),5,1,0,1,5,0
Rick Cheek,4,0,0,4,0,0
Michael Chiesa,0,1,11,3,5,0
Sako Chivitchian,1,0,5,0,2,1
Choi Doo-ho,11,1,1,0,2,2
Choi Hong-man,4,3,0,2,0,0
Choi Mu-bae,7,4,4,1,2,3
